Vessel Name,IMO,Owner,MMSI/s
FUYUANYU0309,,,150402940
FUYUANYU303,,,150400453
FUYUANYU715,,,"150400453, 150400465, 150400460, 150400480, 150400467, 150400477"
FUYUANYU717,,,"150402944, 150402947"
FUYUANYU9993,8567743,Fujian Hengli Fishery Co Ltd,"150402944, 150402940, 150402995, 150402960"
FUYUANYU9994,,,150402951
FUYUANYU9995,8567755,Fujian Hengli Fishery Co Ltd,150400453
HAIHANG1,,,"150402944, 150402989, 150402945, 150403002"
HAIHANG2,,,150402951
HAIHANG3,,,"150400453, 150400469"
HAIHANG5,,,150402940
HAIHANG6,,,"150402949, 150403000"
LUQINGYUANYU271,,,150402940
LUQINGYUANYU290,,,150402949
LURONGYUANYU195,8786545,"Shidao Group, Rongcheng Huadong Fishery Co Ltd","150402944, 150400453, 150402947, 150400459, 150400508"
LURONGYUANYU197,8786557,"Shidao Group, Rongcheng Huadong Fishery Co Ltd","150402949, 150402947, 150402940, 150403000"
LURONGYUANYU20,8749705,Shandong Lidao Oceanic Technology Co Ltd,"150402944, 150402951"
LURONGYUANYU277,8786569,"Shidao Group, Rongcheng Huadong Fishery Co Ltd","150402944, 150402947, 150403006, 150402988, 150403003, 150403005, 150402952, 150402974, 150402998, 150403001, 150403007"
LURONGYUANYU278,8786571,"Shidao Group, Rongcheng Huadong Fishery Co Ltd","150402951, 150403003"
LURONGYUANYU581,9871971,"Shidao Group, Rongcheng Huadong Fishery Co Ltd","150400453, 150402947"
LURONGYUANYU601,9847499,"Rongcheng Homey Ocean Fishing Co Ltd, Rongcheng Haodangjia Ocean Fishery Co Ltd",150402944
LURONGYUANYU715,8786583,"Shidao Group, Rongcheng Huadong Fishery Co Ltd","150400453, 150400463, 150400465, 150400483, 150400488, 150400502, 150400476, 150400499, 150400450, 150400471, 150402957, 150400467, 150400478"
LURONGYUANYU717,8786595,"Shidao Group, Rongcheng Huadong Fishery Co Ltd","150402947, 150402940, 150400483"
LUWENYUANGYU601,,,150402944
SHUNHANG1,,,"150402944, 150402978"
SHUNHANG2,,,150402951
SHUNHANG3,,,150400453
SHUNHANG5,,,150402940
SHUNHANG6,8776588,Zhoushan Shunhang Ocean Fisheries Co Ltd,150402949
SHUNHANG66,,,150402940
SHUNHANG67,,,"150402944, 150402949"
SHUNHANG68,8776459,Zhoushan Shunhang Ocean Fisheries Co Ltd / Zhoushan Shunxing Blue Waters Fishery Co Ltd,150402947
SHUNHANG79,,,150400453
SHUNHANGYUANYU879,,,150400453
